hazle	hazles,hazel
hemorrhoid	hæmorrhoid,haemorrhoid
catsup	catsups,ketchup
veerman	man,veer
witchdoctor	witch,doctor
barbering	-ing,barber
renourishment	re-,nourishment
underframe	frame,under-
careworn	worn,care,interview
pretto	puretto,puro
qanoon	qanun,qanoons
velib	dative case,vocative case,värb,nominative case,velib,genitive case,accusative case,velibe,velibi,predicative case,o,velibas,velibis,velibs,verb,velibus,veliba,velibu,velibes
sambur	sambar,samburs
maculan	ellas,macular,ellos,ustedes
microstate	micro-,state
alginate	-ate,algin
monody	μονῳδία,monodia
sugata	sugat,-a
trabecular	-ar,trabecula
perennis	perhennis,peremnis
feedforward	feed-forward,feed forward
sketchpad	sketchpads,sketch pad
hubristic	-istic,hubris
plt	плт,put
yin-yang	yin yang,yin and yang
enchiridion	ἐγχειρίδιον,χείρ,neuter,ἐν
oesophageal	esofágico,söofik,esofageo,ösophageal,ezofaga,esophageal,œsophagien,éasafagach
dwg	drawing,dwgs
prolate	prolatum,proferre
anhydrase	hydrase,an-
overoptimistic	optimistic,over-
pennyworth	penny,worth
non-consensual	consensual,non-
multiset	multi-,set
merchandizing	merchandizings,merchandising
biocompatible	bio-,compatible
unperformed	performed,un-
nonalignment	alignment,non-
figgy	fig,-y
aquanaut	aqua-,-naut
minnan	minnaniin,minnanilta,minnaniksi,minnanin,minnanitta,minnanina,minnan-kiina,minnanissa,minnanille,minnania,minnanista,minnanilla
hi-lo	hi-los,forklift
adjunction	adjungere,adjunctio,adjonction,adjunct
ringette	ring,-ette
gunslinging	slinging,gun
4-2-2	driving wheel,leading wheel,4-2-2s,leading truck,steam locomotive,trailing wheel
hadrosaurid	duck-billed,family,zoology,dinosaur,hadrosaur,hadrosaurids
battlement	bastion,bastillement,bastillier,bataillement,bastille
yasu	romaji,やす
unlicenced	more,most
conformably	conformable,-ly
prairial	-al,prairie
generalísimo	generalísimos,generalissimo
knowingness	knowing,-ness
schoolfriend	school,friend
gangling	more,rangy,κρεμανταλάς,most,ungraceful,gangle,awkward,gangly,lanky,renglulegur,gang
sheeted	covered,tarpaulin,sheet
wks	wk,weeks
inazuma	romaji,いなずま
stateful	-ful,stateless,state
hiam	薟,莶
newchurch	new,church
bleeder	-er,bleed
cohesively	-ly,cohesive
diether	di-,ether
n.e.c.	not,elsewhere,classified
panik	panic,πανικός,panicus,panique
reticulation	reticule,-ation
narra	family,tree,narras,pantropical,genus
triacetone	acetone,tri-
luneta	spyglass,lunetas
correr	currere,curro
protoculture	culture,proto-
skan	lai,skanēt
magnetar	magnet,pulsar
dourado	douradas,golden,dourado,dourada,ouro,dourados
buzzie	buzz,-ie
matey	mate,-y
pedregal	piedra,pedregal
shivery	shiver,-y
arwa	likaw ng bituka,anatomy,coil,intestine
decipherable	decipher,-able
cime	κῦμα,cime,cyma,cyme
burgage	socage,burgages,medieval,tenure
gamefish	game,fish
polyphagous	-phagous,poly-
mesler	meller,medler,mescler
amakudari	romaji,あまくだり
ferriera	ironworks,ferriere
bufalino	bufalo,bufalini,buffalo,bufalina,bufaline
landcare	care,land
prinia	prinias,prinia
nymphe	nymphes,nymphæ,nymph
burgeon	burjon,byrian,byre,burioun,burjan,buron,burra,bear,burjun,burgon,burgeon
resignedly	-ly,resigned
dragonette	dragon,-ette
perlo	perlon,perlojn,perla,perlaĵo,pearl,perloj
longrunning	more,long-running,most
dancey	more,dancy,most
eduction	-ion,educe,eductio
rubdown	down,rub
kijana	vijana,youth
swingy	swing,-y
standdown	stand-down,standdowns
minerality	mineral,-ity
