,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,TR9856,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2
results_counterfitted_retrofitt,0.631840796,0.86,0.415981648,0.704545455,0.725,0.577777778,0.712796299,0.637548868,0.751472504,0.393600944,0.465830711,0.098586926,0.520375228,0.447244146,0.623789853,0.461932051,0.3625,0.147903122
results_counterfitted.csv,0.611940299,0.86,0.408908431,0.704545455,0.725,0.577777778,0.712796299,0.637548868,0.751472504,0.393600944,0.465830711,0.098586926,0.520375228,0.447244146,0.623789853,0.461932051,0.3625,0.147903122
results_retrofitted.csv,0.661691542,0.82,0.41770216,0.75,0.825,0.644444444,0.737464697,0.633181998,0.769524979,0.366989056,0.370500357,0.097261835,0.543325561,0.477486924,0.661995239,0.71735571,0.614375,0.169880526
results_original.csv,0.629353234,0.795,0.415408144,0.75,0.825,0.6,0.737464697,0.633181998,0.769524979,0.36704515,0.370500357,0.099480209,0.543524307,0.477486924,0.662455735,0.650992632,0.514125,0.169062508
